Card,Song,Link,Tags
Bofuri,Goodnight,https://www.youtube.com/watch?v=ckxYNTKSVD0,Soundtrack
Sabikui Bisco,Kaze no Oto Sae Kikoenai,https://www.youtube.com/watch?v=qHDGnu4-b8U,OP
Demon Slayer,Op 1,https://www.youtube.com/watch?v=pmanD_s7G3U,OP
Dorohedoro,Op 1,https://www.youtube.com/watch?v=iH_YJde1yps,OP
Dorohedoro,Ed 2,https://www.youtube.com/watch?v=3U9AJM4wwm0,ED
Ranking of Kings,Boy,https://www.youtube.com/watch?v=s5SSAXK6bQE,OP
Ranking of Kings,OP 2,https://www.youtube.com/watch?v=dWZAH5w8jkQ,OP
Ranking of Kings,OZ,https://www.youtube.com/watch?v=KG9Thb1XKcs,ED
Keijo!!!!!!!!,OP,https://www.youtube.com/watch?v=SSo3gVnQaKo,OP
The Helpful fox Senko-san,Koyoi mofumofu !!,https://www.youtube.com/watch?v=vvC7KJS_t1Q,OP
Lovely Complex,Op 1,https://www.youtube.com/watch?v=Ni1hZafSmME,OP
Lovely Complex,Op 2,https://www.youtube.com/watch?v=SrftdY9W_rY,OP
Black Clover,Op 3,https://www.youtube.com/watch?v=dUiDZJMPh-s,OP
Black Clover,Op 4,https://www.youtube.com/watch?v=URwMxNidO-8,OP
Black Clover,Op 7,https://www.youtube.com/watch?v=fFd1VkGc-SI,OP
Black Clover,Op 9,https://www.youtube.com/watch?v=NrAeSJP4qIg,OP
Black Clover,Op 10,https://www.youtube.com/watch?v=xj9aaqzKBwM,OP
The Helpful fox Senko-san,Moffumoffu DE Yoi no Ja yo,https://www.youtube.com/watch?v=PvSDklO6XcQ,ED
Handa-Kun,Op,https://www.youtube.com/watch?v=1nAETV9qYPg,OP
Desert Punk,Op,https://www.youtube.com/watch?v=tux_u8BIfik,OP
Odd Taxi,ODDTAXI,https://www.youtube.com/watch?v=zI_cLtW3PnA,OP
Black Lagoon,Op 1,https://www.youtube.com/watch?v=dWfxcRj39tg,OP
Rent a Girlfriend,Op 1,https://www.youtube.com/watch?v=cM1WSovcn4I,OP
Rent a Girlfriend,Ed 1,https://www.youtube.com/watch?v=lYUdHGhxCw4,ED
Kore wa Zombie desu ka,Op 1,https://www.youtube.com/watch?v=KpDstvOgL7s,OP
Kore wa Zombie desu ka,Ed 1,https://www.youtube.com/watch?v=47SquTj_nC4,ED
Kore wa Zombie desu ka,Break Dance,https://www.youtube.com/watch?v=POsSiI3bKUM,Soundtrack
Vivy -Fluorite Eyes Song-,Sing My Pleasure,https://www.youtube.com/watch?v=2p8ig-TrYPY,OP
Slime Taoshite 300-nen,Gudafuwa Everyday,https://www.youtube.com/watch?v=Z96BU8iZhLs,OP
Sakamoto desu ga,Op,https://www.youtube.com/watch?v=f8d3bW42aFY,OP
Noragami,Op 1,https://www.youtube.com/watch?v=gWCnKoEgfP0,OP
Noragami,Op 2,https://www.youtube.com/watch?v=aZenmeRytEM,OP
Shiki,Op 1,https://www.youtube.com/watch?v=vZZ9eJ7KK1g,OP
Shiki,Op 2,https://www.youtube.com/watch?v=3VSdQO_Z5Cw,OP
Ben-To,Op,https://www.youtube.com/watch?v=4Vcif419h-o,OP
Shimoneta,Op 1,https://www.youtube.com/watch?v=hfBY2E3snFs,OP
Shimoneta,Ed,https://www.youtube.com/watch?v=1Ntemtw8El0,ED
Good Luck Girl,Op,https://www.youtube.com/watch?v=kwZddhJDgCM,OP
Deca-Dence,Op,https://www.youtube.com/watch?v=n83X1ao7D6I,OP
Zankyou no Terror,Op,https://www.youtube.com/watch?v=g1ARRcK4LVs,OP
Danganronpa,Op,https://www.youtube.com/watch?v=Avr-Iu5vWsM,OP
Great Pretender,Op,https://www.youtube.com/watch?v=tZlvvdv1ffU,OP
Hakata Tonkatsu Ramens,Op,https://www.youtube.com/watch?v=JrVt1hPpkVM,OP
Vinland Saga,Op 1,https://www.youtube.com/watch?v=xEVcTStgA4A,OP
Welcome to the NHK,Op 1,https://www.youtube.com/watch?v=MeCHp0Bm_6g,OP
Btooom,Op,https://www.youtube.com/watch?v=5GjbLOe_cgw,OP
Jujutsu Kaisen,Op 1,https://www.youtube.com/watch?v=GwaRztMaoY0,OP
Jujutsu Kaisen,Ed 2,JUJUTSU KAISEN - Ending 2 | Give it Back (youtube.com),ED
Jujutsu Kaisen,Op 2,https://www.youtube.com/watch?v=LFTE4W--Htk,OP
Jujutsu Kaisen,Ed 1,https://www.youtube.com/watch?v=6riDJMI-Y8U,ED
Tatami Galaxy,Op,https://www.youtube.com/watch?v=xkH8ti1gakE,OP
Tatami Galaxy,Op 2,https://www.youtube.com/watch?v=p13YTPg8fA4,OP
Tatami Galaxy,Ed 1,https://www.youtube.com/watch?v=-IcFDwygw-o,ED
Ranking of Kings,Op 2,https://www.youtube.com/watch?v=EP0k1ee8Dgc,OP
Blue Lock,OP 1,https://www.youtube.com/watch?v=5Iv3Fi8eb7w,OP
Blue Lock,OP 2,https://www.youtube.com/watch?v=y8B6-Eot9iI,OP
Blue Lock,OP 3,BLUE LOCK 2nd Season - Opening | Boujaku no Charisma - YouTube,OP
Blue Lock,Ed 1,BLUE LOCK - Ending 1 | Winner (youtube.com),ED
Blue Lock,Ed 2,https://www.youtube.com/watch?v=y9wJSeLL-D0,ED
Heion Sedai no Idaten-tachi ,OP 1,https://www.youtube.com/watch?v=x59-Lr9nnho,OP
Houseki no Kuni ,OP 1,https://www.youtube.com/watch?v=C9MuI4gfyiA,OP
Dragon Maid,OP 1,https://www.youtube.com/watch?v=HbXtkT48yQM,OP
Dragon Maid,OP 2,https://www.youtube.com/watch?v=KVV5Hh2RHoA,OP
Full Dive: This Ultimate Next-Gen Full Dive RPG,OP 1,https://www.youtube.com/watch?v=SEjR9IPyecg,OP
MEGALOBOX ,OP 1,https://www.youtube.com/watch?v=ByMrJy5p7q8,OP
MEGALOBOX ,OP 2,https://www.youtube.com/watch?v=SKU4mJtecNc,OP
MEGALOBOX ,MEGALOBOX  Theme,https://www.youtube.com/watch?v=7ryzRsoJ8gY,Soundtrack
MEGALOBOX ,Sachio Theme,https://www.youtube.com/watch?v=rpzqfI7BFZI,Soundtrack
Ore wo Sukinano wa Omae,OP 1,https://www.youtube.com/watch?v=OQUk9T0yL7s,OP
Samurai Champloo,OP 1,https://www.youtube.com/watch?v=Eq6EYcpWB_c,OP
Samurai Champloo,OST Aruarian Dance,https://www.youtube.com/watch?v=HkZ8BitJhvc,Soundtrack
Samurai Champloo,Ed 1,Samurai Champloo - Ending | Shiki No Uta (youtube.com),ED
Shadow House,Ed 1,https://www.youtube.com/watch?v=6NHq2ZVv4_g,ED
Shadow House,OP 1,Shadow House OP | a hollow shadow | Sub Español - Romaji『AMV』☆ (youtube.com),OP
Suzume no Tojimari,OP,https://www.youtube.com/watch?v=qal34e9v_pk,OP
Tengoku Daimakyou,OP 1,https://www.youtube.com/watch?v=ir08xj0g4Dw,OP
Tokyo Revengers,OP 1,Tokyo Revengers - Opening | Cry Baby (youtube.com),OP
Tokyo Revengers,Ed 1,https://www.youtube.com/watch?v=AUS2Np9LBDM,ED
Yuukoku no Moriarty,OP 1,Moriarty the Patriot Opening Theme - DYING WISH (youtube.com),OP
Yuukoku no Moriarty,Ed 1,https://www.youtube.com/watch?v=GXDRhu7-bp4,ED
Mashle,OP 2,"MASHLE: MAGIC AND MUSCLES Season 2 - Opening FULL ""Bling-Bang-Bang-Born"" by Creepy Nuts (Lyrics) (youtube.com)",OP
The Apothecary Diaries,OP 1,https://www.youtube.com/watch?v=EQ-DKvLQlyQ,OP
Haikuu,OP 1,https://www.youtube.com/watch?v=XS-N8KfZ5EU&list=PLzM2LSdnII9iY2aBD7Sd0qBEjUHM0Res6&index=1,OP
Haikuu,OP 2,https://www.youtube.com/watch?v=7aNg8cV65Os&list=PLzM2LSdnII9iY2aBD7Sd0qBEjUHM0Res6&index=4,OP
Wind Breaker,OP 1,TVアニメ「WIND BREAKER」ノンクレジットオープニング映像『絶対零度』なとり｜2024.04.04 ON AIR (youtube.com),OP
Kaiju No. 8,OP 1,YUNGBLUD - Abyss (from Kaiju No. 8) [Official Lyric Video] (youtube.com),OP
Kaiju No. 8,Ed 1,https://www.youtube.com/watch?v=4dHbbvbBc4I,ED
Sonny Boy,OP 1,https://www.youtube.com/watch?v=TBac0TtmSZE,OP
Golden Boy,OP 1,https://www.youtube.com/watch?v=47Hg0QIo1x8,OP
Golden Boy,Lady President,https://www.youtube.com/watch?v=qR92VsjVVWk,Soundtrack
Zom 100,OP 1,https://www.youtube.com/watch?v=Tt4_enX63K0,OP
Dandandan,OP 1,https://www.youtube.com/watch?v=A1dnxXrpN-o,OP
Dandandan,Ed 1,https://www.youtube.com/watch?v=ovW7yRi1iJ8,ED
Sonny Boy,Todays Song,https://www.youtube.com/watch?v=QT8gq3mAfLU,Soundtrack
Haiyori Nyaruko-San,Op 2,https://www.youtube.com/watch?v=Y6hkBiZGCag,OP
Todays Menu for the Emiya Family,Op,https://www.youtube.com/watch?v=xQKgbWm4GWQ,OP
Food Wars,Op 1,https://www.youtube.com/watch?v=vV3l_1j8pPE,OP
Food Wars,Ed 1,https://www.youtube.com/watch?v=M_cyl6c8pMI,ED
Fire Force,Op 1,https://www.youtube.com/watch?v=JBqxVX_LXvk,OP
Fire Force,Op 3,https://www.youtube.com/watch?v=xLGtT8WuidM,OP
One Piece,Op 1,https://www.youtube.com/watch?v=gcjdXMfYIe4,OP
One Piece,Op 13,https://www.youtube.com/watch?v=9vc2r0s6M_M,OP
One Piece,Luffys Theme,https://www.youtube.com/watch?v=fDlNVZctQlY,OP
One Piece,The Battle Continues as Long As You Live,https://www.youtube.com/watch?v=7FVQeJI2Q1I,OP
Neon Genisis Evangelion,Op,https://www.youtube.com/watch?v=fShlVhCfHig,OP
Inou Battle wa Nichijou,Op 1,https://www.youtube.com/watch?v=-loiSJb96ok,OP
Naruto,OP 1,https://youtu.be/4t__wczfpRI?si=fansvwTUkZ7V7RgT,OP
Naruto,OP 2,https://youtu.be/SRn99oN1p_c?si=li5h5BeSXJ_LaoW-,OP
Naruto,OP 4,https://youtu.be/xjBTNbEXbAA?si=rUX75gehOTDW6yEG,OP
Naruto,OP 8,https://youtu.be/yB2g22359Fg?si=DKnzcjvLY-wMqCz7,OP
Pokemon,Original Op,https://www.youtube.com/watch?v=6xKWiCMKKJg,OP
Naruto,OP 9,https://youtu.be/-m8kR0FQ7Wk?si=qW_tGDeueKrUns6t,OP
Pokemon,Advanced Battle Op,https://www.youtube.com/watch?v=fhk77O165a0,OP
Pokemon,Battle Frontier Op,https://www.youtube.com/watch?v=hWrAEnnaJfU,OP
Digimon,English Op,https://www.youtube.com/watch?v=KUUQhLHBR2o,OP
Baccano!,Guns and Roses,https://youtu.be/_F5459jCtuM?si=hhk76nMk5xm4kYA5,OP
